School Name,State Name [District] 2022-23,County Name [District] 2022-23,Web Site URL [District] 2022-23,Location Address 1 [District] 2022-23,Location City [District] 2022-23,Location ZIP [District] 2022-23,Phone Number [District] 2022-23,Locale [District] 2022-23,Latitude [District] 2022-23,Longitude [District] 2022-23,LEA Charter Status [District] 2022-23,"Total Students, All Grades (Excludes AE) [District] 2022-23","Total Students, All Grades (Includes AE) [District] 2022-23",Male Students [District] 2022-23,Female Students [District] 2022-23,American Indian/Alaska Native Students [District] 2022-23,Asian or Asian/Pacific Islander Students [District] 2022-23,Hispanic Students [District] 2022-23,Black or African American Students [District] 2022-23,White Students [District] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [District] 2022-23,Two or More Races Students [District] 2022-23,AP Program Offered
HAPPY VALLEY SCHOOL INC. (79081),ARIZONA,Maricopa County,http://www.happyvalleyschool.org,827 E 6TH AVE,MESA,85204,6233762900,21-Suburb: Large,33.711563,-112.214629,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",546,546,247,299,0,59,58,12,390,3,24,NO
HERITAGE ACADEMY GATEWAY INC. (92519),ARIZONA,Maricopa County,http://www.hagateway.com,19630 East Germann Road,QUEEN CREEK,85242,4804614400,41-Rural: Fringe,33.27735,-111.658477,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1370,1370,670,700,2,11,139,10,1151,7,50,YES
HERITAGE ACADEMY INC. (4336),ARIZONA,Maricopa County,http://www.hamesa.com,32 S CENTER ST,MESA,85210,4809695641,32-Town: Distant,33.41415,-111.8321,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1665,1665,813,852,14,9,457,56,1041,18,70,YES
HERITAGE ACADEMY LAVEEN INC. (92520),ARIZONA,Maricopa County,http://www.halaveen.com,4275 W BASELINE RD,LAVEEN,85339,6022908546,11-City: Large,33.377213,-112.149809,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",650,650,317,333,5,23,351,52,191,4,24,YES
HERITAGE ELEMENTARY SCHOOL (81076),ARIZONA,Maricopa County,http://hesarizona.org,4027 N 45TH AVE,PHOENIX,85031,6237423956,41-Rural: Fringe,33.532871,-112.327258,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",892,892,439,453,11,8,449,162,187,2,73,NO
HIGHLAND PREP (92982),ARIZONA,Maricopa County,http://highlandprepaz.com/,15600 W HEARN RD,SURPRISE,85379,6233008385,21-Suburb: Large,33.613955,-112.395818,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",514,514,291,223,1,18,191,40,239,1,24,YES
HIGLEY UNIFIED SCHOOL DISTRICT (4248),ARIZONA,Maricopa County,http://www.husd.org/,2935 S RECKER RD,GILBERT,85295,4802797000,21-Suburb: Large,33.297191,-111.702845,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,13040,13040,6864,6176,98,450,2870,662,8064,62,834,NO
HIRSCH ACADEMY A CHALLENGE FOUNDATION (91275),ARIZONA,Maricopa County,http://www.hirsch.teamcfa.org,6535 E OSBORN RD STE 401,SCOTTSDALE,85251,4804889362,12-City: Mid-size,33.486988,-111.94024,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",177,177,89,88,5,1,149,13,7,0,2,NO
HORIZON COMMUNITY LEARNING CENTER INC. (79264),ARIZONA,Maricopa County,http://www.horizonhonors.org,16233 S 48TH ST,PHOENIX,85048,4806593000,11-City: Large,33.2986,-111.9789,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",698,698,385,313,6,38,136,33,443,1,41,YES
HORIZON COMMUNITY LEARNING CENTER INC. (92620),ARIZONA,Maricopa County,http://www.horizonhonors.org,16233 S 48TH ST,PHOENIX,85048,4806593000,11-City: Large,33.2986,-111.9789,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",820,820,421,399,10,75,172,37,464,0,62,YES
HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STAT (4337),ARIZONA,Maricopa County,http://www.humsci.org,5201 N 7TH ST,PHOENIX,85014,4803175900,12-City: Mid-size,33.513177,-112.06435,Charter district which is not an LEA for any federal program,275,275,150,125,17,0,177,26,38,3,14,NO
IMAGINE AVONDALE ELEMENTARY INC. (89784),ARIZONA,Maricopa County,http://www.imagineavondale.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6233441730,22-Suburb: Mid-size,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",447,447,230,217,2,2,331,69,30,0,13,NO
IMAGINE AVONDALE MIDDLE INC. (90162),ARIZONA,Maricopa County,http://www.imagineavondale.org/,950 N Eliseo C Felix Jr Way,AVONDALE,85323,6233441730,22-Suburb: Mid-size,33.442572,-112.338229,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",220,220,116,104,2,0,177,24,15,1,1,NO
IMAGINE CAMELBACK MIDDLE INC. (89561),ARIZONA,Maricopa County,http://imaginecamelback.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6023444620,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",161,161,84,77,0,4,116,32,6,0,3,NO
IMAGINE CHARTER ELEMENTARY AT CAMELBACK INC. (88365),ARIZONA,Maricopa County,http://imaginecamelback.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6023444620,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",365,365,187,178,4,14,264,64,5,4,10,NO
IMAGINE CHARTER ELEMENTARY AT DESERT WEST INC. (88367),ARIZONA,Maricopa County,http://elem.dwdragons.org,18052 N BLACK CANYON HWY,PHOENIX,85053,6233447150,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",694,694,370,324,1,0,617,60,10,1,5,NO
IMAGINE COOLIDGE ELEMENTARY INC. (89786),ARIZONA,Pinal County,http://www.imaginecoolidge.org/,1290 W VAH KI INN RD,COOLIDGE,85128,5207235391,41-Rural: Fringe,32.989066,-111.537421,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",681,681,324,357,40,3,401,81,111,2,43,NO
IMAGINE DESERT WEST MIDDLE INC. (89563),ARIZONA,Maricopa County,http://www.dwdragons.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6234692024,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",444,444,226,218,1,0,390,40,10,1,2,NO
IMAGINE MIDDLE AT EAST MESA INC. (88369),ARIZONA,Maricopa County,http://imagineeastmesa.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,4803556830,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",120,120,64,56,0,1,52,7,48,0,12,NO
IMAGINE MIDDLE AT SURPRISE INC. (88372),ARIZONA,Maricopa County,http://surpriseprep.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6233441770,21-Suburb: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",248,248,130,118,2,5,82,19,118,0,22,NO
IMAGINE PREP COOLIDGE INC. (90034),ARIZONA,Pinal County,http://imagineprepcoolidge.com/,1290B W VAH KI INN RD,COOLIDGE,85128,5204242790,41-Rural: Fringe,32.988861,-111.538563,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",526,526,262,264,86,2,296,34,77,1,30,YES
IMAGINE PREP SUPERSTITION INC. (89788),ARIZONA,Pinal County,http://www.imagineprep.com/,1843 W 16TH AVE,Apache Junction,85120,4803550530,21-Suburb: Large,33.399654,-111.566192,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",297,297,152,145,2,2,117,10,159,0,7,YES
IMAGINE PREP SURPRISE INC. (89790),ARIZONA,Maricopa County,http://surpriseprep.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6233441770,21-Suburb: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",290,290,153,137,0,5,98,21,145,0,21,NO
IMAGINE SUPERSTITION MIDDLE INC. (90160),ARIZONA,Pinal County,http://www.imagineprep.com/,1843 W 16TH AVE,Apache Junction,85120,4803550530,21-Suburb: Large,33.399654,-111.566192,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",153,153,77,76,1,0,59,7,78,1,7,YES
INCITO SCHOOLS (91326),ARIZONA,Maricopa County,http://incitoschools.org,877 N SARIVAL AVE,GOODYEAR,85338,6233986968,22-Suburb: Mid-size,33.455261,-112.408765,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",243,243,118,125,5,3,134,28,66,1,6,NO
INTELLI-SCHOOL INC. (4352),ARIZONA,Maricopa County,http://www.intellischool.org,2222 W NORTHERN AVE STE A110,PHOENIX,85021,6025647380,11-City: Large,33.553719,-112.107124,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",67,67,29,38,0,0,31,0,33,0,3,NO
INTERNATIONAL COMMERCE SECONDARY SCHOOLS INC. (4334),ARIZONA,Maricopa County,http://www.humsci.org,5201 N 7TH ST,PHOENIX,85014,4803175900,11-City: Large,33.513177,-112.06435,Charter district which is not an LEA for any federal program,200,200,99,101,5,0,153,23,12,0,7,NO
ISAAC ELEMENTARY DISTRICT (4259),ARIZONA,Maricopa County,http://www.isaacschools.org,3348 W MCDOWELL RD,PHOENIX,85009,6024556700,11-City: Large,33.46716,-112.131521,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5077,5077,2632,2445,36,13,4716,210,68,6,28,NO
J O COMBS UNIFIED SCHOOL DISTRICT (4445),ARIZONA,Pinal County,http://www.jocombs.org/,43371 N KENWORTHY RD,SAN TAN VLY,85140,4809875300,21-Suburb: Large,33.272976,-111.545503,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,4401,4401,2306,2095,79,35,1569,201,2296,19,202,NO
JAMES MADISON PREPARATORY SCHOOL (79063),ARIZONA,Maricopa County,http://www.madisonprep.org,5815 S MCCLINTOCK DR,TEMPE,85283,4803452306,12-City: Mid-size,33.370129,-111.91052,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",156,156,83,73,3,4,36,8,98,3,4,YES
JAMES SANDOVAL PREPARATORY HIGH SCHOOL (79475),ARIZONA,Maricopa County,http://crownpoinths.com/,5850 W Northview Ave,Glendale,85301,6238450781,21-Suburb: Large,33.54341,-112.185801,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",35,35,24,11,0,0,33,2,0,0,0,NO
KAIZEN EDUCATION FOUNDATION DBA ADVANCE U (91329),ARIZONA,Maricopa County,http://www.advance-u.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",67,67,38,29,0,0,46,14,2,0,5,NO
KAIZEN EDUCATION FOUNDATION DBA COLEGIO PETITE PHO (92989),ARIZONA,Maricopa County,http://www.colegioaz.com/,6150 N 16TH ST STE A,PHOENIX,85016,5202229213,33-Town: Remote,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",275,275,146,129,0,0,273,0,2,0,0,NO
KAIZEN EDUCATION FOUNDATION DBA DISCOVER U ELEMENT (91328),ARIZONA,Maricopa County,http://www.advance-u.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,21-Suburb: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",145,145,86,59,2,0,85,15,29,4,10,NO
KAIZEN EDUCATION FOUNDATION DBA EL DORADO HIGH SCH (4342),ARIZONA,Maricopa County,http://www.edhswolverines.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,21-Suburb: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",726,726,337,389,6,10,576,55,62,1,16,NO
KAIZEN EDUCATION FOUNDATION DBA GILBERT ARTS ACADE (90333),ARIZONA,Maricopa County,http://www.gilbertartsacademy.com,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,21-Suburb: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",176,176,92,84,4,2,61,17,78,0,14,NO
KAIZEN EDUCATION FOUNDATION DBA HAVASU PREPARATORY (90535),ARIZONA,Maricopa County,http://www.havasuprepele.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,13-City: Small,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",210,210,115,95,3,3,51,1,137,0,15,NO
KAIZEN EDUCATION FOUNDATION DBA LIBERTY ARTS ACADE (90334),ARIZONA,Maricopa County,http://www.libertyartsacademy.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",350,350,174,176,4,8,117,19,152,0,50,NO
KAIZEN EDUCATION FOUNDATION DBA MAYA HIGH SCHOOL (79882),ARIZONA,Maricopa County,http://www.mayahs.com,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",392,392,194,198,11,16,275,58,24,0,8,NO
KAIZEN EDUCATION FOUNDATION DBA MISSION HEIGHTS PR (90548),ARIZONA,Maricopa County,http://www.mhprep.com/,6150 N 16TH ST STE A,PHOENIX,85016,5208369383,13-City: Small,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",631,631,284,347,14,11,329,32,218,4,23,NO
KAIZEN EDUCATION FOUNDATION DBA SKYVIEW HIGH SCHOO (79880),ARIZONA,Maricopa County,http://www.skyviewhs.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,31-Town: Fringe,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",175,175,99,76,2,0,106,19,41,0,7,NO
KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE ELEME (79233),ARIZONA,Maricopa County,http://www.southpointeelem.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",293,293,130,163,14,0,130,132,5,0,12,NO
KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE JUNIO (78965),ARIZONA,Maricopa County,http://www.southpointejh.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",133,133,55,78,9,0,74,41,6,0,3,NO
KAIZEN EDUCATION FOUNDATION DBA SUMMIT HIGH SCHOOL (79876),ARIZONA,Maricopa County,http://www.summiths.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",191,191,105,86,7,0,150,22,7,0,5,NO
KAIZEN EDUCATION FOUNDATION DBA TEMPE ACCELERATED (79878),ARIZONA,Maricopa County,http://www.questhighschool.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",88,88,44,44,4,0,69,4,10,0,1,NO
KAIZEN EDUCATION FOUNDATION DBA VISTA GROVE PREPAR (79871),ARIZONA,Maricopa County,http://www.vistagroveprep.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",31,31,15,16,2,0,14,13,1,0,1,NO
KAIZEN EDUCATION FOUNDATION DBA VISTA GROVE PREPAR (90330),ARIZONA,Maricopa County,http://www.vistagroveprep.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",81,81,36,45,1,0,42,22,14,0,2,NO
KALEIDOSCOPE SCHOOL (1000164),ARIZONA,Maricopa County,http://www.ksk8.org,3434 W GREENWAY RD STE 117,PHOENIX,85053,6028455983,11-City: Large,33.639083,-112.050536,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",286,286,149,137,0,8,78,18,160,0,22,NO
KESTREL SCHOOLS INC. (79065),ARIZONA,Maricopa County,http://vpahighschool.com/,2150 E Southern Ave Suite 713,TEMPE,85282,4806215382,12-City: Mid-size,33.394063,-111.893133,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",23,23,13,10,0,0,9,2,12,0,0,NO
KEYSTONE MONTESSORI CHARTER SCHOOL INC. (10878),ARIZONA,Maricopa County,http://www.keystonemontessori.com/,1025 E LIBERTY LN,PHOENIX,85048,4804607312,11-City: Large,33.295654,-112.06055,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",179,179,93,86,0,12,57,9,87,1,13,NO
KHALSA MONTESSORI ELEMENTARY SCHOOLS (4360),ARIZONA,Maricopa County,http://www.khalsamontessori.org,2536 N 3RD ST,PHOENIX,85004,6022523759,11-City: Large,33.475943,-112.069649,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",111,111,56,55,3,9,23,2,57,1,16,NO
KYRENE ELEMENTARY DISTRICT (4267),ARIZONA,Maricopa County,http://www.kyrene.org,8700 S KYRENE RD,TEMPE,85284,4805411000,11-City: Large,33.33558,-111.946831,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,14401,14401,7339,7062,612,679,4534,1391,5690,73,1422,NO
LAVEEN ELEMENTARY DISTRICT (4276),ARIZONA,Maricopa County,http://www.laveeneld.org,5001 W DOBBINS RD,LAVEEN,85339,6022379100,11-City: Large,33.362217,-112.167621,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,7766,7766,4028,3738,213,193,4899,1387,734,26,314,NO
LEAD CHARTER SCHOOLS (79967),ARIZONA,Maricopa County,http://www.leadingedgeacademy.com/new/,633 E RAY RD STE 132,GILBERT,85296,4806330414,21-Suburb: Large,33.320628,-111.775635,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1035,1035,526,509,19,17,358,114,447,2,78,NO
LEADING EDGE ACADEMY MARICOPA (90637),ARIZONA,Maricopa County,http://www.leadingedgeacademy.com/new/,633 E RAY RD STE 132,GILBERT,85296,4806330414,32-Town: Distant,33.320628,-111.775635,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",804,804,385,419,9,11,359,121,234,10,60,NO
LEADING EDGE ACADEMY QUEEN CREEK (91174),ARIZONA,Pinal County,http://www.leadingedgeacademy.com,4815 W HUNT HWY,QUEEN CREEK,85142,4806556787,21-Suburb: Large,33.199,-111.6182,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",364,364,166,198,2,4,117,24,191,1,25,NO
LEGACY EDUCATION GROUP (87349),ARIZONA,Maricopa County,http://evhigh.org,7420 E MAIN ST,MESA,85207,4809812008,11-City: Large,33.416646,-111.668818,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",155,155,85,70,4,1,81,10,48,0,11,NO
LEGACY TRADITIONAL SCHOOL - AVONDALE (91135),ARIZONA,Maricopa County,http://legacytraditional.org,17760 N REGENT DR,MARICOPA,85138,4802705438,22-Suburb: Mid-size,33.450347,-112.324637,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1305,1305,618,687,8,29,817,122,246,9,74,NO
LEGACY TRADITIONAL SCHOOL - CASA GRANDE (92199),ARIZONA,Pinal County,http://legacytraditional.org,1274 E. Oneil Drive,Casa Grande,85122,4802705438,13-City: Small,32.901236,-111.732415,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1543,1543,751,792,24,24,887,60,463,7,78,NO
LEGACY TRADITIONAL SCHOOL - CHANDLER (91133),ARIZONA,Maricopa County,http://legacytraditional.org,3201 S GILBERT RD BLDG B,CHANDLER,85286,4802705438,11-City: Large,33.259907,-111.788346,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1102,1102,542,560,7,250,240,75,432,1,97,NO
LEGACY TRADITIONAL SCHOOL - EAST MESA (834265),ARIZONA,Maricopa County,http://legacytraditional.org/,3201 S GILBERT RD,CHANDLER,85286,4802705438,11-City: Large,33.261007,-111.788341,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1049,1049,520,529,10,37,317,44,551,6,84,NO
LEGACY TRADITIONAL SCHOOL - EAST TUCSON (1001399),ARIZONA,Maricopa County,http://etucson.legacytraditional.org,3125 S GILBERT RD,CHANDLER,85286,5204283010,11-City: Large,33.261007,-111.788341,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",376,376,189,187,1,5,186,36,112,2,34,NO
LEGACY TRADITIONAL SCHOOL - GILBERT (92047),ARIZONA,Maricopa County,http://legacytraditional.org,3201 S GILBERT RD BLDG A,CHANDLER,85286,4802705438,21-Suburb: Large,33.261007,-111.788341,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1083,1083,553,530,8,109,262,65,533,1,105,NO
LEGACY TRADITIONAL SCHOOL - GLENDALE (850100),ARIZONA,Maricopa County,http://legacytraditional.org/,13091 N. 67th Ave,Glendale,85306,4802705438,21-Suburb: Large,33.61217,-112.201804,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1273,1273,606,667,5,112,447,86,562,0,61,NO
LEGACY TRADITIONAL SCHOOL - GOODYEAR (1000283),ARIZONA,Maricopa County,http://legacytraditional.org/,16060 W LOWER BUCKEYE RD,GOODYEAR,85338,6232331100,22-Suburb: Mid-size,33.423564,-112.405064,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",586,586,288,298,4,6,305,75,146,3,47,NO
LEGACY TRADITIONAL SCHOOL - MARICOPA (88360),ARIZONA,Pinal County,http://www.legacytraditional.org/,17760 N REGENT DR,MARICOPA,85138,4802705438,41-Rural: Fringe,33.042307,-112.00606,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1268,1268,639,629,23,36,494,177,445,9,84,NO
LEGACY TRADITIONAL SCHOOL - MESA (1001397),ARIZONA,Maricopa County,http://mesa.legacytraditional.org,3125 S GILBERT RD,CHANDLER,85286,4805764000,11-City: Large,33.261007,-111.788341,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",502,502,212,290,6,6,140,28,280,1,41,NO
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER (850101),ARIZONA,Maricopa County,http://legacytraditional.org/,1900 N MCQUEEN RD,CHANDLER,85225,4802705438,11-City: Large,33.333713,-111.825227,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",935,935,450,485,12,61,332,104,339,9,78,NO
LEGACY TRADITIONAL SCHOOL - PEORIA (850099),ARIZONA,Maricopa County,http://legacytraditional.org,7877 W HILLCREST BLVD,PEORIA,85383,4802705438,21-Suburb: Large,33.685411,-112.227462,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",657,657,312,345,1,54,111,18,429,0,44,NO
LEGACY TRADITIONAL SCHOOL - PHOENIX (873957),ARIZONA,Maricopa County,http://legacytraditional.org,4545 N 99TH AVE,PHOENIX,85037,4802705438,11-City: Large,33.502648,-112.27143,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1312,1312,634,678,8,62,839,125,214,2,62,NO
LEGACY TRADITIONAL SCHOOL - QUEEN CREEK (92610),ARIZONA,Pinal County,http://legacytraditional.org,41800 N BARNES PKWY,San Tan Valley,85140,4802705438,21-Suburb: Large,33.25782,-111.574211,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1119,1119,587,532,10,20,301,33,697,2,56,NO
LEGACY TRADITIONAL SCHOOL - SURPRISE (92879),ARIZONA,Maricopa County,http://legacytraditional.org,14506 W SWEETWATER AVE,SURPRISE,85379,4802705438,41-Rural: Fringe,33.60303,-112.372216,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",2263,2263,1055,1208,15,84,758,159,1064,5,178,NO
LEGACY TRADITIONAL SCHOOL ? LAVEEN VILLAGE (91763),ARIZONA,Maricopa County,http://legacytraditional.org/,7900 S 43RD AVE,LAVEEN,85339,4802705438,11-City: Large,33.37495,-112.153121,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1084,1084,501,583,16,38,655,212,109,7,47,NO
LEGACY TRADITIONAL SCHOOL-SAN TAN (1001927),ARIZONA,Pinal County,http://santan.legacytraditional.org,1679 W. Empire Blvd,San Tan Valley,85143,4805764600,21-Suburb: Large,33.204552,-111.584413,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",585,585,297,288,4,11,201,56,256,9,48,NO
LIBERTY ELEMENTARY DISTRICT (4266),ARIZONA,Maricopa County,http://www.liberty25.org,19871 W FREMONT RD,BUCKEYE,85326,6234746600,41-Rural: Fringe,33.380633,-112.486259,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,4450,4450,2322,2128,35,37,2507,254,1427,15,175,NO
LINCOLN PREPARATORY ACADEMY (92657),ARIZONA,Maricopa County,http://lincolnprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,41-Rural: Fringe,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",536,536,272,264,1,123,76,36,251,3,46,NO
LITCHFIELD ELEMENTARY DISTRICT (4281),ARIZONA,Maricopa County,http://lesd79.org,272 E SAGEBRUSH ST,Litchfield Park,85340,6235356000,22-Suburb: Mid-size,33.491749,-112.356539,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,10828,10828,5568,5260,96,294,5004,733,4031,46,624,NO
LITTLE LAMB COMMUNITY SCHOOL (79050),ARIZONA,Maricopa County,http://www.missionmontessori.com,12990 E SHEA BLVD,SCOTTSDALE,85259,4808604330,12-City: Mid-size,33.583609,-111.800785,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",133,133,65,68,1,2,23,4,91,1,11,NO
LITTLETON ELEMENTARY DISTRICT (4278),ARIZONA,Maricopa County,http://www.littletonaz.org/,1600 S 107TH AVE,AVONDALE,85323,6234785600,22-Suburb: Mid-size,33.431714,-112.290287,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5877,5877,3054,2823,72,85,4586,623,326,18,167,NO
MADISON ELEMENTARY DISTRICT (4270),ARIZONA,Maricopa County,http://madisonaz.org,5601 N 16TH ST,PHOENIX,85016,6026647900,11-City: Large,33.51768,-112.045941,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5844,5844,2961,2883,159,105,2206,312,2597,7,458,NO
MADISON HIGHLAND PREP (91935),ARIZONA,Maricopa County,http://www.MadisonHighlandPrep.org,1431 E CAMPBELL AVE STE 100,PHOENIX,85014,6027453800,11-City: Large,33.50129,-112.050022,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",456,456,254,202,8,9,240,19,157,2,21,YES
MAMMOTH-SAN MANUEL UNIFIED DISTRICT (4439),ARIZONA,Pinal County,http://msmusd.org,711 S MCNAB PKWY,SAN MANUEL,85631,5203852337,41-Rural: Fringe,32.597768,-110.630399,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,534,534,278,256,6,10,376,5,129,1,7,NO
MARICOPA COUNTY REGIONAL SCHOOL DISTRICT (4234),ARIZONA,Maricopa County,http://www.mcrsd.org,4041 N. Central Avenue Suite,PHOENIX,85012,6024524700,11-City: Large,33.49397,-112.072897,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,82,82,39,43,4,0,51,18,8,0,1,NO
